minute_of_day,baseline,delay_p3_peak,redistribute,v2g
1100,176412.39581435177,69512.87225102058,176412.39581435177,176412.39581435177
1105,174663.19862340213,69756.90505262799,174663.19862340213,174663.19862340213
1110,174185.82988914018,70222.94043552963,174185.82988914018,174185.82988914018
1115,176712.514034238,70938.86456086638,176712.514034238,176712.514034238
1120,174801.80408143988,70532.63347916199,174801.80408143988,174801.80408143988
1125,171163.66116773084,71537.33750201135,171163.66116773084,171163.66116773084
1130,175021.49753885838,71437.07675330124,175021.49753885838,175021.49753885838
1135,174751.19952193552,70974.44811160088,174751.19952193552,174751.19952193552
1140,171361.22317119545,72370.38801449731,171361.22317119545,171361.22317119545
1145,174391.5918305013,72863.15994708904,174391.5918305013,174391.5918305013
1150,173621.55428817144,72384.85832158195,173621.55428817144,173621.55428817144
1155,173969.3946934375,74665.51250095258,173969.3946934375,173969.3946934375
1160,180616.374186032,75893.02926999165,180616.374186032,180616.374186032
1165,182309.0019691415,75561.7375406678,181713.66732927796,182309.0019691415
1170,178867.48030250645,76829.18252383682,178867.48030250645,178867.48030250645
1175,183719.58804741025,77460.83172938436,178676.77424657214,183719.58804741025
1180,184718.51123855382,77309.38587875552,184718.51123855382,184718.51123855382
1185,182529.05148018003,79042.61674609574,182529.05148018003,182529.05148018003
1190,187962.97466824343,79043.59112678736,187962.97466824343,187962.97466824343
1195,188494.17615553393,78510.53586576792,182315.41074074616,188494.17615553393
1200,186905.85083402455,80931.88103664925,183937.02936333124,186905.85083402455
1205,195256.27607751338,82114.71879538195,194821.05810544587,195256.27607751338
1210,194900.16188015052,82123.77106457183,182929.82433605328,194900.16188015052
1215,192736.17786838315,84482.3062912497,192736.17786838315,192736.17786838315
1220,200845.77782749946,85193.14016821628,194491.64351143234,200845.77782749946
1225,201481.73534264986,84929.15419836296,201481.73534264986,201481.73534264986
1230,200007.79208568294,87538.97419073005,143467.36684016182,200007.79208568294
1235,205227.06748312342,87627.79287418873,188178.6478984891,205227.06748312342
1240,204611.7793154796,87740.56481858267,191104.52975473428,204611.7793154796
1245,202430.5107310167,89840.42333840454,177035.9413532757,202430.5107310167
1250,207971.80422197698,90138.80752694959,179510.71781106872,188535.8802797069
1255,208430.74396944942,89702.03443882926,201575.46791514842,188925.67782416407
1260,204878.3486014245,204878.3486014245,149737.6562469253,204878.3486014245
1265,211039.5002498165,211039.5002498165,204799.9814513155,191347.95442595732
1270,211229.78031642592,211229.78031642592,150706.63578418124,191547.28913352237
1275,208538.7946329296,208538.7946329296,154957.2637902242,189335.8857343134
1280,213535.3667519237,213535.3667519237,206144.95783064913,193698.84512987558
1285,213157.856805392,213157.856805392,205751.5096100202,193388.57765485096
1290,209473.81170088775,209473.81170088775,190400.0816602361,190335.3241101604
1295,212228.48885625467,212228.48885625467,192485.78452132703,192803.17370941534
1300,211211.9508279375,211211.9508279375,208462.0331031953,191971.07071236902
1305,209106.74955564865,209106.74955564865,207637.75425597883,190229.7449836688
1310,213170.29627763282,213170.29627763282,202389.0040596785,193789.43203750617
1315,212801.09055327444,212801.09055327444,162051.07841886903,193481.9314176314
1320,208814.58184125074,208814.58184125074,196718.0850824771,190116.82112743825
1325,213698.36359484284,213698.36359484284,188762.5935573393,194351.198977403
1330,212895.0689803448,212895.0689803448,208306.69422493802,193668.53659975182
1335,208895.68004568154,208895.68004568154,205801.06553909535,190322.58609532408
1340,212407.5190742971,212407.5190742971,188792.38217423327,193401.32962515624
1345,208932.238047942,208932.238047942,188782.432437723,190341.89764319584
1350,203917.10424428768,204446.52964653162,188634.19012903154,203917.10424428768
1355,208858.76374998735,208858.76374998735,208858.76374998735,190388.4005081106
1360,207285.03356727838,207285.03356727838,202418.49589360142,189041.8985228426
1365,204809.59770304358,204809.59770304358,188634.0025238757,204809.59770304358
1370,207599.84416693385,207599.84416693385,188773.14315046812,189402.38771458488
1375,205699.15943932332,205699.15943932332,188824.73514209464,205699.15943932332
1380,200794.76185998644,204360.78499222777,192340.4558499348,200794.76185998644
1385,205277.91397144986,205277.91397144986,199865.34755313458,205277.91397144986
1390,205107.66172454873,205107.66172454873,200096.98649715458,205107.66172454873
1395,201717.79856659978,204578.3189324092,196602.07355789276,201717.79856659978
1400,204364.76360469864,204364.76360469864,188742.7582491237,204364.76360469864
1405,203738.7170319379,204360.64387334863,199668.86611938104,203738.7170319379
1410,201736.11252198485,204576.37877147467,201736.11252198485,201736.11252198485
1415,203513.77528847478,204254.658947321,203513.77528847478,203513.77528847478
1420,201213.2081824368,204402.59358460543,200232.57561687342,201213.2081824368
1425,197590.82434467247,204570.94909153786,192234.4111927907,197590.82434467247
1430,200842.67405680567,204366.06294028633,199356.7266123568,200842.67405680567
1435,202626.16325351933,204360.35358018626,197178.39736999245,202626.16325351933
