,Private car_P1_workday,Private car_P2_workday,Private car_P3_workday,Taxi_P1_workday,Taxi_P2_workday,Taxi_P3_workday,Official car_P1_workday,Official car_P2_workday,Official car_P3_workday,Rental car_P1_workday,Rental car_P2_workday,Rental car_P3_workday,Bus_P1_workday,Bus_P2_workday,Bus_P3_workday,SPV_P1_workday,SPV_P2_workday,SPV_P3_workday,Private car_P1_weekend & holiday,Private car_P2_weekend & holiday,Private car_P3_weekend & holiday,Taxi_P1_weekend & holiday,Taxi_P2_weekend & holiday,Taxi_P3_weekend & holiday,Official car_P1_weekend & holiday,Official car_P2_weekend & holiday,Official car_P3_weekend & holiday,Rental car_P1_weekend & holiday,Rental car_P2_weekend & holiday,Rental car_P3_weekend & holiday,Bus_P1_weekend & holiday,Bus_P2_weekend & holiday,Bus_P3_weekend & holiday,SPV_P1_weekend & holiday,SPV_P2_weekend & holiday,SPV_P3_weekend & holiday
10,3643.45063496958,12612.030727291725,3792.330894626271,209.0557123246518,2588.57617757063,974.8081138386872,524.3887331558411,3194.711658147079,4856.947976368914,141.4834048411047,631.5467402993651,4606.384845130732,14294.944264936768,12903.452972078301,5292.837658929554,530.7204021116323,6549.50510542256,911.1485570033391,4023.202655773094,14045.467338722086,4959.028817806002,236.1075675562024,2704.995858975686,1161.5679397135973,601.6089232020676,3630.200945223992,5729.410076949124,180.55182773480192,785.5971102075918,5708.481094171355,17670.539021452267,16026.287087976933,6234.302383303642,632.6397697118189,7498.508133588731,1003.8671555519104
11,3617.172595579189,12446.245259343072,3749.031290479244,208.70354390550744,2570.190983875909,946.4213677355737,522.7687269088409,3178.5849911267446,4829.969989398822,141.3388238212263,630.3921082945405,4569.408444322239,14024.258573658137,12865.888336758158,6954.7404967695475,524.7412790556974,6375.040334964599,886.6929087544933,4000.0486232640646,13865.760114809385,4863.865382861452,234.93819070607424,2679.777892895974,1156.4835565835238,594.9630870275795,3619.0345844135927,5648.524182660505,178.14196068653837,782.62521828782,5742.619693483908,17304.7343638738,16261.569452822208,7590.233525633812,627.7354011026289,7231.739956029753,976.642670750618
12,3586.7378813953005,12254.03589345048,3638.4022290319595,208.2107260376215,2557.7243565707045,926.7589084704716,521.966316474248,3141.274899544533,4782.826012222762,142.99701928432015,633.2232538953796,4548.292542429404,13775.686982996134,13262.357031705138,13118.601817438548,518.2678603972676,6160.8975582809935,850.3084102341622,3974.5085648583054,13678.449738828496,4764.4941101554605,234.35764572769403,2650.933660873212,1104.517353489995,592.0061103381812,3596.9528880820917,5549.2737988661975,177.9229797855951,790.671315387601,5813.560171776513,16916.149167021118,17587.50538879633,14499.504381775856,618.7722443726923,6914.0771303936845,948.869971871376
13,3554.1360924953665,12059.586613101792,3473.9428538889083,207.24315525591373,2535.0295036225157,881.9602748733578,518.683136527101,3105.408353076232,4651.0795329282455,143.52226265333593,638.3741047997287,4454.714023321912,13463.410155834172,13055.325101291028,14298.324639801274,513.7306492717203,5969.175719069789,798.2660906762787,3937.7722708346128,13479.590125181432,4526.753265369293,234.2815729007125,2612.602807351388,1051.866243198514,587.2903164421804,3563.3686004535607,5459.640697303539,176.98977790074423,785.7897071994487,5671.360412203769,16466.199731131397,17395.820953905582,16361.908856511116,615.9876564231779,6565.433612139523,904.0919146537781
14,3522.5593612367356,11871.581722611128,3415.8310368736074,206.98976860669526,2516.4578516869383,851.2395588267933,517.7239288460088,3081.649134713987,4630.846089288751,144.84922271577472,644.5713203026411,4461.373072611157,13261.641921841336,12795.060223581553,14024.755355795676,509.1585297106116,5773.498480800866,754.8667744087451,3918.2261727066516,13263.332385950442,4463.754666237392,233.55351486057043,2597.0138665521517,1018.6444135457277,587.6307816931228,3542.2644964115075,5476.649430973455,177.23357702977955,788.6081342108193,5722.012636150916,16122.253965993723,17318.83890146017,16011.971514344215,608.0276707646515,6379.0416870271165,893.926090836525
15,3495.004424568293,11666.653287915418,3326.562761158861,206.15518918227065,2497.474895104089,825.9519526741722,513.189243730312,3055.7331314271487,4584.69113953879,143.08800105767494,642.8034539133231,4410.87053136848,12879.996122312867,12252.932247510802,11402.844887347384,502.7437634748266,5627.876101788943,745.1295861851085,3884.3489630916893,13067.91463096505,4366.346333462355,231.24542989581823,2574.322581537999,974.1668435484171,581.4923094936828,3514.4156928316997,5503.1482525300235,178.22600668668747,791.196967066044,5759.331853604316,15609.020451714594,16440.474490582943,12784.145811200142,599.6457786199715,6134.763463671506,877.1848064661026
16,3464.674100413156,11454.71249443368,3138.583266982282,206.0299409668554,2462.8662735501475,791.7925316420468,508.40681808380054,3022.050043772398,4431.15394185138,142.05497748624873,639.9969242288229,4326.201564031162,12480.002646167673,11650.530948149775,7810.9095802347765,496.47605138567815,5407.419664365208,725.3447500734619,3851.9425724353714,12825.835138038452,4179.035508740303,229.24484934657812,2557.1494646156207,964.584148183465,576.9171384141962,3479.019237484162,5453.4474831850575,175.92204532027245,799.8312894858066,5576.244476602475,15153.942149430513,15568.037334144115,9164.970336556435,593.1259212133552,5838.064025099575,873.5724207162857
17,3433.135211083618,11266.900167078531,3080.033876893028,205.67894818972457,2436.8920598416166,766.6786834326657,506.4725229539794,2986.383278960362,4415.269265865444,143.32188707065177,632.9804145333363,4222.353198939247,12167.659726818003,10858.214989606517,5677.046962077419,487.64253046388427,5294.613376682791,676.2910164717472,3791.1824315519452,12578.793973242897,4141.7367882811595,230.39249598234892,2535.841927775182,968.5080601722002,576.8692848549405,3445.651053841536,5406.96539332283,175.72815217077732,817.6862826503459,5498.387328813474,14902.319241076708,14556.237278878689,6248.630805373192,588.8670347270634,5651.057570991168,830.9981642961502
18,3399.1927687875373,11047.94739343922,2940.739686822182,204.06637399169531,2416.5944602767177,724.4087358026794,501.54129268141384,2942.617782365023,4237.189285163333,142.16330545073882,629.6867070325317,4049.13189207338,11816.63199089653,9885.467059339877,4755.81617618736,480.2487242725537,5111.919167188529,678.0563796361288,3755.9718992480457,12343.651112591879,4017.482485213237,230.65102048963308,2518.787376292981,940.154497936368,572.7176011220732,3393.6554784433292,5267.378973631188,177.97984419763088,823.4734144664947,5439.019053468853,14509.523427397013,13145.105714738369,5465.528567671776,583.5540845182802,5511.210577167322,781.5031229257584
19,3365.476000293695,10835.803926594519,2870.486484441626,203.24800271744078,2387.337589746849,716.9922015269597,497.2125719451635,2911.429977633567,4197.180399380557,142.62285150604492,630.6699114984556,4015.6050341633686,11437.334710025025,9260.37179494841,4833.906556769302,476.46460470446584,5033.783459143396,672.7575382897348,3730.117546701811,12136.487641369955,3986.5398031377363,230.54574983567,2491.891827234067,941.186894968152,570.2130466616272,3350.056795913105,5231.081156043336,178.95259556174278,817.9382633871976,5396.657159288476,14222.967174500227,11997.964175999165,5440.169513106346,573.2027037528421,5393.288771507392,823.9364665150642
